,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
0,2006-02-17,70.29,,,0.0,142.2677479015507,10000.0
1,2006-02-21,69.08,,,0.0,142.2677479015507,9827.856025039122
2,2006-02-22,71.32,,,0.0,142.2677479015507,10146.535780338596
3,2006-02-23,71.75,,,0.0,142.2677479015507,10207.710911936263
4,2006-02-24,71.46,,,0.0,142.2677479015507,10166.453265044813
5,2006-02-27,70.99,,,0.0,142.2677479015507,10099.587423531084
6,2006-02-28,68.49,,,0.0,142.2677479015507,9743.918053777206
7,2006-03-01,69.1,,,0.0,142.2677479015507,9830.701379997154
8,2006-03-02,69.61,,,0.0,142.2677479015507,9903.257931426944
9,2006-03-03,67.72,,,0.0,142.2677479015507,9634.371887893014
10,2006-03-06,65.48,,,0.0,142.2677479015507,9315.69213259354
11,2006-03-07,66.31,,,0.0,142.2677479015507,9433.774363351828
12,2006-03-08,65.66,,,0.0,142.2677479015507,9341.300327215818
13,2006-03-09,63.93,,,0.0,142.2677479015507,9095.177123346137
14,2006-03-10,63.19,,,0.0,142.2677479015507,8989.89898989899
15,2006-03-13,65.68,,,0.0,142.2677479015507,9344.145682173852
16,2006-03-14,67.32,,,0.0,142.2677479015507,9577.464788732392
17,2006-03-15,66.23,,,0.0,142.2677479015507,9422.392943519704
18,2006-03-16,64.31,,,0.0,142.2677479015507,9149.238867548725
19,2006-03-17,64.66,,,0.0,142.2677479015507,9199.032579314267
20,2006-03-20,63.99,,,0.0,142.2677479015507,9103.71318822023
21,2006-03-21,61.81,,,0.0,142.2677479015507,8793.56949779485
22,2006-03-22,61.67,,,0.0,142.2677479015507,8773.652013088633
23,2006-03-23,60.16,,,0.0,142.2677479015507,8558.82771375729
24,2006-03-24,59.96,,,0.0,142.2677479015507,8530.374164176981
25,2006-03-27,59.51,,,0.0,142.2677479015507,8466.353677621282
26,2006-03-28,58.71,,,0.0,142.2677479015507,8352.539479300041
27,2006-03-29,62.33,,,0.0,142.2677479015507,8867.548726703655
28,2006-03-30,62.75,,,0.0,142.2677479015507,8927.301180822307
29,2006-03-31,62.72,65.53966666666668,0.0,0.0,142.2677479015507,8923.03314838526
30,2006-04-03,62.65,65.28500000000001,0.0,0.0,142.2677479015507,8913.074406032152
31,2006-04-04,61.17,65.02133333333335,1.0,0.0,142.2677479015507,8702.518139137857
32,2006-04-05,67.21,64.88433333333336,0.0,0.0,142.2677479015507,9561.815336463222
33,2006-04-06,71.24,64.86733333333335,-1.0,10135.15436050647,0.0,10135.15436050647
34,2006-04-07,69.79,64.81166666666668,-1.0,10135.15436050647,0.0,10135.15436050647
35,2006-04-10,68.67,64.73433333333335,-1.0,10135.15436050647,0.0,10135.15436050647
36,2006-04-11,67.99,64.71766666666669,-1.0,10135.15436050647,0.0,10135.15436050647
37,2006-04-12,66.71,64.63800000000002,0.0,10135.15436050647,0.0,10135.15436050647
38,2006-04-13,66.469,64.53330000000003,0.0,10135.15436050647,0.0,10135.15436050647
39,2006-04-17,64.811,64.43633333333337,0.0,10135.15436050647,0.0,10135.15436050647
40,2006-04-18,66.22,64.46100000000003,0.0,10135.15436050647,0.0,10135.15436050647
41,2006-04-19,65.65,64.43900000000004,0.0,10135.15436050647,0.0,10135.15436050647
42,2006-04-20,67.63,64.5046666666667,0.0,10135.15436050647,0.0,10135.15436050647
43,2006-04-21,67.04,64.60833333333336,0.0,10135.15436050647,0.0,10135.15436050647
44,2006-04-24,65.75,64.69366666666669,0.0,10135.15436050647,0.0,10135.15436050647
45,2006-04-25,66.17,64.71000000000002,0.0,10135.15436050647,0.0,10135.15436050647
46,2006-04-26,68.15,64.7376666666667,-1.0,10135.15436050647,0.0,10135.15436050647
47,2006-04-27,69.36,64.84200000000003,-1.0,10135.15436050647,0.0,10135.15436050647
48,2006-04-28,70.39,65.0446666666667,-1.0,10135.15436050647,0.0,10135.15436050647
49,2006-05-01,69.6,65.20933333333336,-1.0,10135.15436050647,0.0,10135.15436050647
50,2006-05-02,71.62,65.4636666666667,-1.0,10135.15436050647,0.0,10135.15436050647
51,2006-05-03,71.14,65.7746666666667,-1.0,10135.15436050647,0.0,10135.15436050647
52,2006-05-04,71.13,66.09000000000002,-1.0,10135.15436050647,0.0,10135.15436050647
53,2006-05-05,71.89,66.48100000000002,-1.0,10135.15436050647,0.0,10135.15436050647
54,2006-05-08,71.89,66.87866666666669,-1.0,10135.15436050647,0.0,10135.15436050647
55,2006-05-09,71.03,67.26266666666669,-1.0,10135.15436050647,0.0,10135.15436050647
56,2006-05-10,70.6,67.65900000000002,0.0,10135.15436050647,0.0,10135.15436050647
57,2006-05-11,68.15,67.85300000000002,0.0,10135.15436050647,0.0,10135.15436050647
58,2006-05-12,67.7,68.01800000000003,0.0,10135.15436050647,0.0,10135.15436050647
59,2006-05-15,67.79,68.18700000000003,0.0,10135.15436050647,0.0,10135.15436050647
60,2006-05-16,64.98,68.26466666666668,0.0,10135.15436050647,0.0,10135.15436050647
61,2006-05-17,65.26,68.40100000000002,0.0,10135.15436050647,0.0,10135.15436050647
62,2006-05-18,63.18,68.26666666666668,1.0,0.0,160.41713137870323,10135.15436050647
63,2006-05-19,64.51,68.04233333333335,1.0,0.0,160.41713137870323,10348.509145240147
64,2006-05-22,63.38,67.82866666666669,1.0,0.0,160.41713137870323,10167.23778678221
65,2006-05-23,63.15,67.64466666666668,1.0,0.0,160.41713137870323,10130.341846565108
66,2006-05-24,63.34,67.48966666666668,1.0,0.0,160.41713137870323,10160.821101527063
67,2006-05-25,64.33,67.41033333333334,0.0,0.0,160.41713137870323,10319.634061591978
68,2006-05-26,63.549,67.31300000000002,1.0,0.0,160.41713137870323,10194.348281985212
69,2006-05-30,61.22,67.19330000000001,1.0,0.0,160.41713137870323,9820.736783004211
70,2006-05-31,59.77,66.97830000000002,1.0,0.0,160.41713137870323,9588.131942505093
