,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
0,2006-02-21,26.54,,,0.0,376.78975131876416,10000.0
1,2006-02-22,26.72,,,0.0,376.78975131876416,10067.822155237378
2,2006-02-23,26.66,,,0.0,376.78975131876416,10045.214770158253
3,2006-02-24,26.63,,,0.0,376.78975131876416,10033.91107761869
4,2006-02-27,27.05,,,0.0,376.78975131876416,10192.162773172571
5,2006-02-28,26.87,,,0.0,376.78975131876416,10124.340617935193
6,2006-03-01,27.14,,,0.0,376.78975131876416,10226.07385079126
7,2006-03-02,26.97,,,0.0,376.78975131876416,10162.019593067069
8,2006-03-03,26.93,,,0.0,376.78975131876416,10146.948003014319
9,2006-03-06,26.91,,,0.0,376.78975131876416,10139.412207987943
10,2006-03-07,27.06,,,0.0,376.78975131876416,10195.930670685757
11,2006-03-08,27.25,,,0.0,376.78975131876416,10267.520723436324
12,2006-03-09,27.0,,,0.0,376.78975131876416,10173.323285606632
13,2006-03-10,27.17,,,0.0,376.78975131876416,10237.377543330824
14,2006-03-13,27.11,,,0.0,376.78975131876416,10214.770158251697
15,2006-03-14,27.23,,,0.0,376.78975131876416,10259.98492840995
16,2006-03-15,27.36,,,0.0,376.78975131876416,10308.967596081387
17,2006-03-16,27.27,,,0.0,376.78975131876416,10275.0565184627
18,2006-03-17,27.5,,,0.0,376.78975131876416,10361.718161266015
19,2006-03-20,27.89,,,0.0,376.78975131876416,10508.666164280332
20,2006-03-21,27.74,,,0.0,376.78975131876416,10452.147701582517
21,2006-03-22,27.15,,,0.0,376.78975131876416,10229.841748304447
22,2006-03-23,26.85,,,0.0,376.78975131876416,10116.804822908818
23,2006-03-24,27.01,,,0.0,376.78975131876416,10177.091183119821
24,2006-03-27,27.01,,,0.0,376.78975131876416,10177.091183119821
25,2006-03-28,26.9,,,0.0,376.78975131876416,10135.644310474756
26,2006-03-29,27.02,,,0.0,376.78975131876416,10180.859080633007
27,2006-03-30,27.23,,,0.0,376.78975131876416,10259.98492840995
28,2006-03-31,27.21,,,0.0,376.78975131876416,10252.449133383574
29,2006-04-03,27.56,27.098000000000003,0.0,0.0,376.78975131876416,10384.32554634514
30,2006-04-04,27.64,27.134666666666668,0.0,0.0,376.78975131876416,10414.468726450641
31,2006-04-05,27.74,27.16866666666667,0.0,0.0,376.78975131876416,10452.147701582517
32,2006-04-06,27.56,27.198666666666668,0.0,0.0,376.78975131876416,10384.32554634514
33,2006-04-07,27.25,27.219333333333335,0.0,0.0,376.78975131876416,10267.520723436324
34,2006-04-10,27.29,27.227333333333334,0.0,0.0,376.78975131876416,10282.592313489075
35,2006-04-11,27.13,27.236,0.0,0.0,376.78975131876416,10222.305953278072
36,2006-04-12,27.2,27.238000000000003,0.0,0.0,376.78975131876416,10248.681235870385
37,2006-04-13,27.07,27.241333333333337,0.0,0.0,376.78975131876416,10199.698568198946
38,2006-04-17,26.84,27.23833333333334,0.0,0.0,376.78975131876416,10113.03692539563
39,2006-04-18,27.22,27.248666666666676,0.0,0.0,376.78975131876416,10256.21703089676
40,2006-04-19,27.03,27.247666666666678,0.0,0.0,376.78975131876416,10184.626978146196
41,2006-04-20,27.03,27.240333333333343,0.0,0.0,376.78975131876416,10184.626978146196
42,2006-04-21,27.15,27.245333333333342,0.0,0.0,376.78975131876416,10229.841748304447
43,2006-04-24,27.11,27.243333333333343,0.0,0.0,376.78975131876416,10214.770158251697
44,2006-04-25,27.11,27.243333333333343,0.0,0.0,376.78975131876416,10214.770158251697
45,2006-04-26,27.1,27.23900000000001,0.0,0.0,376.78975131876416,10211.002260738509
46,2006-04-27,27.25,27.235333333333344,0.0,0.0,376.78975131876416,10267.520723436324
47,2006-04-28,24.15,27.13133333333334,1.0,0.0,376.78975131876416,9099.472494348154
48,2006-05-01,24.29,27.02433333333334,1.0,0.0,376.78975131876416,9152.223059532782
49,2006-05-02,24.01,26.895000000000007,1.0,0.0,376.78975131876416,9046.721929163528
50,2006-05-03,23.17,26.742666666666672,1.0,0.0,376.78975131876416,8730.218538055766
51,2006-05-04,23.44,26.61900000000001,1.0,0.0,376.78975131876416,8831.951770911832
52,2006-05-05,23.8,26.51733333333334,1.0,0.0,376.78975131876416,8967.596081386588
53,2006-05-08,23.73,26.40800000000001,1.0,0.0,376.78975131876416,8941.220798794273
54,2006-05-09,23.62,26.29500000000001,1.0,0.0,376.78975131876416,8899.77392614921
55,2006-05-10,23.77,26.190666666666676,1.0,0.0,376.78975131876416,8956.292388847023
56,2006-05-11,23.22,26.06400000000001,1.0,0.0,376.78975131876416,8749.058025621704
57,2006-05-12,23.17,25.928666666666675,1.0,0.0,376.78975131876416,8730.218538055766
58,2006-05-15,23.15,25.79333333333334,1.0,0.0,376.78975131876416,8722.68274302939
59,2006-05-16,23.01,25.641666666666673,1.0,0.0,376.78975131876416,8669.932177844765
60,2006-05-17,22.73,25.47800000000001,1.0,0.0,376.78975131876416,8564.43104747551
61,2006-05-18,22.83,25.314333333333344,1.0,0.0,376.78975131876416,8602.110022607385
62,2006-05-19,22.56,25.147666666666677,1.0,0.0,376.78975131876416,8500.376789751319
63,2006-05-22,22.88,25.00200000000001,1.0,0.0,376.78975131876416,8620.949510173323
64,2006-05-23,22.79,24.85200000000001,1.0,0.0,376.78975131876416,8587.038432554635
65,2006-05-24,23.5,24.73100000000001,0.0,0.0,376.78975131876416,8854.559155990957
66,2006-05-25,23.74,24.615666666666677,0.0,0.0,376.78975131876416,8944.98869630746
67,2006-05-26,23.72,24.50400000000001,0.0,0.0,376.78975131876416,8937.452901281085
68,2006-05-30,23.15,24.381000000000007,1.0,0.0,376.78975131876416,8722.68274302939
69,2006-05-31,22.65,24.228666666666673,1.0,0.0,376.78975131876416,8534.287867370007
70,2006-06-01,22.82,24.088333333333342,1.0,0.0,376.78975131876416,8598.342125094197
71,2006-06-02,22.76,23.94600000000001,0.0,0.0,376.78975131876416,8575.734740015072
72,2006-06-05,22.5,23.791000000000007,1.0,0.0,376.78975131876416,8477.769404672194
73,2006-06-06,22.13,23.625000000000007,1.0,0.0,376.78975131876416,8338.35719668425
74,2006-06-07,22.04,23.456000000000007,1.0,0.0,376.78975131876416,8304.446119065562
75,2006-06-08,22.11,23.289666666666673,1.0,0.0,376.78975131876416,8330.821401657875
76,2006-06-09,22.03,23.115666666666673,0.0,0.0,376.78975131876416,8300.678221552374
77,2006-06-12,21.71,23.03433333333334,1.0,0.0,376.78975131876416,8180.105501130371
78,2006-06-13,21.51,22.941666666666674,1.0,0.0,376.78975131876416,8104.7475508666175
79,2006-06-14,21.88,22.870666666666676,0.0,0.0,376.78975131876416,8244.15975885456
80,2006-06-15,22.07,22.83400000000001,0.0,0.0,376.78975131876416,8315.749811605125
81,2006-06-16,22.1,22.789333333333342,0.0,0.0,376.78975131876416,8327.05350414469
82,2006-06-19,22.55,22.747666666666678,0.0,0.0,376.78975131876416,8496.608892238131
83,2006-06-20,22.56,22.708666666666673,0.0,0.0,376.78975131876416,8500.376789751319
84,2006-06-21,23.08,22.690666666666676,0.0,0.0,376.78975131876416,8696.307460437076
85,2006-06-22,22.88,22.66100000000001,0.0,0.0,376.78975131876416,8620.949510173323
86,2006-06-23,22.5,22.637000000000008,0.0,0.0,376.78975131876416,8477.769404672194
87,2006-06-26,22.82,22.625333333333344,0.0,0.0,376.78975131876416,8598.342125094197
88,2006-06-27,22.86,22.61566666666668,0.0,0.0,376.78975131876416,8613.413715146948
89,2006-06-28,23.16,22.62066666666668,0.0,0.0,376.78975131876416,8726.450640542578
90,2006-06-29,23.4702,22.64534000000001,0.0,0.0,376.78975131876416,8843.330821401658
91,2006-06-30,23.3,22.661006666666673,0.0,0.0,376.78975131876416,8779.201205727206
92,2006-07-03,23.7,22.699006666666676,0.0,0.0,376.78975131876416,8929.91710625471
93,2006-07-05,23.35,22.714673333333344,0.0,0.0,376.78975131876416,8798.040693293144
94,2006-07-06,23.48,22.737673333333348,0.0,0.0,376.78975131876416,8847.023360964582
95,2006-07-07,23.3,22.73100666666668,0.0,0.0,376.78975131876416,8779.201205727206
96,2006-07-10,23.5,22.723006666666677,0.0,0.0,376.78975131876416,8854.559155990957
