,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
0,2006-02-21,3.56,,,0.0,2808.9887640449438,10000.0
1,2006-02-22,3.64,,,0.0,2808.9887640449438,10224.719101123595
2,2006-02-23,3.66,,,0.0,2808.9887640449438,10280.898876404495
3,2006-02-24,3.62,,,0.0,2808.9887640449438,10168.539325842698
4,2006-02-27,3.62,,,0.0,2808.9887640449438,10168.539325842698
5,2006-02-28,3.69,,,0.0,2808.9887640449438,10365.168539325843
6,2006-03-01,3.89,,,0.0,2808.9887640449438,10926.966292134832
7,2006-03-02,4.1,,,0.0,2808.9887640449438,11516.853932584268
8,2006-03-03,4.09,,,0.0,2808.9887640449438,11488.76404494382
9,2006-03-06,4.05,,,0.0,2808.9887640449438,11376.40449438202
10,2006-03-07,4.0,,,0.0,2808.9887640449438,11235.955056179775
11,2006-03-08,3.87,,,0.0,2808.9887640449438,10870.786516853932
12,2006-03-09,3.98,,,0.0,2808.9887640449438,11179.775280898875
13,2006-03-10,3.98,,,0.0,2808.9887640449438,11179.775280898875
14,2006-03-13,3.96,,,0.0,2808.9887640449438,11123.595505617977
15,2006-03-14,3.96,,,0.0,2808.9887640449438,11123.595505617977
16,2006-03-15,3.92,,,0.0,2808.9887640449438,11011.23595505618
17,2006-03-16,3.9,,,0.0,2808.9887640449438,10955.05617977528
18,2006-03-17,3.94,,,0.0,2808.9887640449438,11067.415730337078
19,2006-03-20,3.87,,,0.0,2808.9887640449438,10870.786516853932
20,2006-03-21,3.79,,,0.0,2808.9887640449438,10646.067415730337
21,2006-03-22,3.83,,,0.0,2808.9887640449438,10758.426966292134
22,2006-03-23,3.88,,,0.0,2808.9887640449438,10898.876404494382
23,2006-03-24,3.87,,,0.0,2808.9887640449438,10870.786516853932
24,2006-03-27,4.02,,,0.0,2808.9887640449438,11292.134831460673
25,2006-03-28,3.99,,,0.0,2808.9887640449438,11207.865168539327
26,2006-03-29,4.0,,,0.0,2808.9887640449438,11235.955056179775
27,2006-03-30,3.98,,,0.0,2808.9887640449438,11179.775280898875
28,2006-03-31,4.0,,,0.0,2808.9887640449438,11235.955056179775
29,2006-04-03,3.91,3.8856666666666664,0.0,0.0,2808.9887640449438,10983.14606741573
30,2006-04-04,3.96,3.8989999999999996,0.0,0.0,2808.9887640449438,11123.595505617977
31,2006-04-05,4.01,3.911333333333333,0.0,0.0,2808.9887640449438,11264.044943820223
32,2006-04-06,4.07,3.925,0.0,0.0,2808.9887640449438,11432.584269662922
33,2006-04-07,4.04,3.939,0.0,0.0,2808.9887640449438,11348.314606741573
34,2006-04-10,4.22,3.959,-1.0,11853.932584269662,0.0,11853.932584269662
35,2006-04-11,4.26,3.978,-1.0,11853.932584269662,0.0,11853.932584269662
36,2006-04-12,4.33,3.9926666666666666,-1.0,11853.932584269662,0.0,11853.932584269662
37,2006-04-13,4.33,4.000333333333334,-1.0,11853.932584269662,0.0,11853.932584269662
38,2006-04-17,4.31,4.007666666666667,-1.0,11853.932584269662,0.0,11853.932584269662
39,2006-04-18,4.29,4.015666666666667,-1.0,11853.932584269662,0.0,11853.932584269662
40,2006-04-19,4.3,4.025666666666667,-1.0,11853.932584269662,0.0,11853.932584269662
41,2006-04-20,4.44,4.044666666666667,-1.0,11853.932584269662,0.0,11853.932584269662
42,2006-04-21,4.48,4.061333333333334,-1.0,11853.932584269662,0.0,11853.932584269662
43,2006-04-24,4.47,4.0776666666666666,-1.0,11853.932584269662,0.0,11853.932584269662
44,2006-04-25,4.39,4.0920000000000005,-1.0,11853.932584269662,0.0,11853.932584269662
45,2006-04-26,4.5,4.11,-1.0,11853.932584269662,0.0,11853.932584269662
