,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
0,2006-02-21,61.08,,,0.0,163.71971185330713,10000.0
1,2006-02-22,62.07,,,0.0,163.71971185330713,10162.082514734773
2,2006-02-23,61.87,,,0.0,163.71971185330713,10129.338572364111
3,2006-02-24,62.35,,,0.0,163.71971185330713,10207.9240340537
4,2006-02-27,63.0,,,0.0,163.71971185330713,10314.341846758349
5,2006-02-28,63.18,,,0.0,163.71971185330713,10343.811394891945
6,2006-03-01,64.44,,,0.0,163.71971185330713,10550.09823182711
7,2006-03-02,62.62,,,0.0,163.71971185330713,10252.128356254092
8,2006-03-03,62.46,,,0.0,163.71971185330713,10225.933202357564
9,2006-03-06,62.39,,,0.0,163.71971185330713,10214.472822527832
10,2006-03-07,61.75,,,0.0,163.71971185330713,10109.692206941716
11,2006-03-08,61.52,,,0.0,163.71971185330713,10072.036673215454
12,2006-03-09,62.06,,,0.0,163.71971185330713,10160.44531761624
13,2006-03-10,62.58,,,0.0,163.71971185330713,10245.57956777996
14,2006-03-13,61.69,,,0.0,163.71971185330713,10099.869024230517
15,2006-03-14,61.97,,,0.0,163.71971185330713,10145.710543549443
16,2006-03-15,62.68,,,0.0,163.71971185330713,10261.951538965292
17,2006-03-16,63.53,,,0.0,163.71971185330713,10401.113294040602
18,2006-03-17,64.18,,,0.0,163.71971185330713,10507.531106745253
19,2006-03-20,65.45,,,0.0,163.71971185330713,10715.455140798953
20,2006-03-21,65.26,,,0.0,163.71971185330713,10684.348395546824
21,2006-03-22,66.38,,,0.0,163.71971185330713,10867.714472822527
22,2006-03-23,67.02,,,0.0,163.71971185330713,10972.495088408643
23,2006-03-24,66.98,,,0.0,163.71971185330713,10965.946299934512
24,2006-03-27,66.69,,,0.0,163.71971185330713,10918.467583497053
25,2006-03-28,66.09,,,0.0,163.71971185330713,10820.23575638507
26,2006-03-29,66.43,,,0.0,163.71971185330713,10875.900458415193
27,2006-03-30,65.49,,,0.0,163.71971185330713,10722.003929273083
28,2006-03-31,66.34,,,0.0,163.71971185330713,10861.165684348396
29,2006-04-03,64.02,63.78566666666667,0.0,0.0,163.71971185330713,10481.335952848722
30,2006-04-04,64.03,63.88400000000001,0.0,0.0,163.71971185330713,10482.973149967256
31,2006-04-05,64.05,63.95000000000001,0.0,0.0,163.71971185330713,10486.247544204321
32,2006-04-06,64.05,64.02266666666668,0.0,0.0,163.71971185330713,10486.247544204321
33,2006-04-07,62.92,64.04166666666669,0.0,0.0,163.71971185330713,10301.244269810086
34,2006-04-10,62.01,64.00866666666668,0.0,0.0,163.71971185330713,10152.259332023576
35,2006-04-11,61.15,63.94100000000002,0.0,0.0,163.71971185330713,10011.46037982973
36,2006-04-12,62.1,63.863000000000014,0.0,0.0,163.71971185330713,10166.994106090373
37,2006-04-13,62.1,63.84566666666668,0.0,0.0,163.71971185330713,10166.994106090373
38,2006-04-17,61.7,63.820333333333345,0.0,0.0,163.71971185330713,10101.506221349051
39,2006-04-18,64.47,63.88966666666668,0.0,0.0,163.71971185330713,10555.00982318271
