,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
0,2013-11-07,44.9,,,0.0,222.71714922048997,10000.0
1,2013-11-08,41.65,,,0.0,222.71714922048997,9276.169265033406
2,2013-11-11,42.9,,,0.0,222.71714922048997,9554.565701559019
3,2013-11-12,41.9,,,0.0,222.71714922048997,9331.84855233853
4,2013-11-13,42.6,,,0.0,222.71714922048997,9487.750556792873
5,2013-11-14,44.69,,,0.0,222.71714922048997,9953.229398663696
6,2013-11-15,43.98,,,0.0,222.71714922048997,9795.100222717148
7,2013-11-18,41.14,,,0.0,222.71714922048997,9162.583518930958
8,2013-11-19,41.75,,,0.0,222.71714922048997,9298.440979955456
9,2013-11-20,41.05,,,0.0,222.71714922048997,9142.538975501113
10,2013-11-21,42.06,,,0.0,222.71714922048997,9367.483296213808
11,2013-11-22,41.0,,,0.0,222.71714922048997,9131.403118040089
12,2013-11-25,39.06,,,0.0,222.71714922048997,8699.33184855234
13,2013-11-26,40.18,,,0.0,222.71714922048997,8948.775055679287
14,2013-11-27,40.9,,,0.0,222.71714922048997,9109.131403118039
15,2013-11-29,41.57,,,0.0,222.71714922048997,9258.351893095769
16,2013-12-02,40.78,,,0.0,222.71714922048997,9082.40534521158
17,2013-12-03,41.37,,,0.0,222.71714922048997,9213.80846325167
18,2013-12-04,43.69,,,0.0,222.71714922048997,9730.512249443207
19,2013-12-05,45.62,,,0.0,222.71714922048997,10160.356347438752
20,2013-12-06,44.95,,,0.0,222.71714922048997,10011.135857461024
21,2013-12-09,49.14,,,0.0,222.71714922048997,10944.320712694878
22,2013-12-10,51.99,,,0.0,222.71714922048997,11579.064587973275
23,2013-12-11,52.34,,,0.0,222.71714922048997,11657.015590200446
24,2013-12-12,55.33,,,0.0,222.71714922048997,12322.93986636971
25,2013-12-13,59.0,,,0.0,222.71714922048997,13140.311804008908
26,2013-12-16,56.61,,,0.0,222.71714922048997,12608.017817371938
27,2013-12-17,56.45,,,0.0,222.71714922048997,12572.38307349666
28,2013-12-18,55.51,,,0.0,222.71714922048997,12363.028953229397
